,Year,Month,Argentina,Bolivia,Brazil,Chile,Colombia,Ecuador,Guyana,Paraguay,Peru,Suriname,Uruguay,Venezuela
0,2020,January,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2020,February,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2020,March,27.0,6.0,201.0,12.0,16.0,75.0,2.0,3.0,30.0,0.0,1.0,3.0
3,2020,April,191.0,56.0,5805.0,215.0,277.0,825.0,7.0,7.0,1021.0,1.0,16.0,13.0
4,2020,May,321.0,251.0,23308.0,827.0,646.0,2458.0,3.0,1.0,3455.0,0.0,5.0,-2.0
5,2020,June,768.0,810.0,30280.0,4634.0,2395.0,1169.0,0.0,6.0,5171.0,12.0,5.0,37.0
6,2020,July,2236.0,1854.0,32881.0,3769.0,6771.0,1175.0,8.0,32.0,9344.0,13.0,8.0,113.0
7,2020,August,5117.0,2050.0,28906.0,1832.0,9557.0,854.0,19.0,277.0,9767.0,45.0,9.0,222.0
8,2020,September,8277.0,2938.0,22571.0,1452.0,6336.0,4799.0,41.0,531.0,3608.0,33.0,4.0,242.0
9,2020,October,14065.0,760.0,15932.0,1466.0,5316.0,1315.0,44.0,547.0,2015.0,7.0,10.0,170.0
10,2020,November,7728.0,232.0,13236.0,1203.0,5452.0,791.0,27.0,352.0,1512.0,6.0,19.0,99.0
11,2020,December,4515.0,208.0,21829.0,1198.0,6447.0,573.0,13.0,506.0,1757.0,5.0,104.0,131.0
12,2021,January,4729.0,1214.0,29555.0,1844.0,10770.0,825.0,12.0,456.0,3346.0,32.0,255.0,161.0
13,2021,February,3991.0,1270.0,30438.0,2120.0,5783.0,952.0,19.0,463.0,5273.0,18.0,172.0,155.0
14,2021,March,3893.0,608.0,66573.0,2563.0,3656.0,1036.0,36.0,1025.0,5709.0,5.0,366.0,258.0
15,2021,April,8007.0,694.0,82266.0,3218.0,10298.0,1784.0,65.0,2179.0,9469.0,27.0,1642.0,534.0
16,2021,May,10228.0,956.0,42219.0,1987.0,10730.0,1470.0,60.0,1902.0,5927.0,49.0,1198.0,356.0
